 MATLAB Evaluation Started............
Processing file /storage/htc/bdm/tosin/GSDB/Data/WT9059TG/Cheng_Prop_WT/GSM455133_30E0LAAXX.1/VC_100kb/chr5_list.txt..............
INFO: License(s) matlab:1
Currently Loaded Modulefiles:
  1) matlab/matlab-R2018a

                            < M A T L A B (R) >
                  Copyright 1984-2018 The MathWorks, Inc.
                   R2018a (9.4.0.813654) 64-bit (glnxa64)
                             February 23, 2018

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 
InfMod3DGen Execution Completed........

n =

     1


m =

        1780


p =

     3


XYZ =

   45.0000  210.0000  312.0000
   12.0603  120.1543  365.0391
  111.7221  123.0114  218.1078
 -134.1001  165.1485  290.7227
   95.0088   55.2371  424.2133
   17.6010  147.2585  258.3071
  -93.3629  121.0230  373.1268
  133.1907  103.7708  299.5485
  -14.8780  223.1334  265.5900
  -41.9176   99.3806  398.8596
   97.8706  220.7847  262.8565
  -98.3415   72.4564  337.9289
   96.2898  255.4977  314.5737
  -16.6729   27.2586  374.7011
  -14.8263  272.1596  264.7754
  -60.0588   33.9134  300.8219
   98.2563  192.2722  379.6127
  -49.7337  272.3150  271.6250
   67.2915   69.6937  285.0480
 -147.2040  129.5842  309.8126
   13.1151  213.2901  222.3310
  -45.0709  115.9018  429.7296
   -7.7493   76.0598  232.4640
 -112.5898  186.8777  454.9958
  -71.8166  125.6774  171.5532
   27.2144  174.5149  386.2781
 -141.8242  154.2120  198.6214
    3.9411  122.4246  434.6950
   68.0791  197.1302  186.0223
 -144.0036  125.7992  305.2333
   91.9751   60.7991  336.7717
   63.5926  225.9508  281.8326
 -148.7264  119.9934  389.0671
   98.8791  177.9452  257.4051
  -59.0201    2.3395  355.0977
   87.3470  289.2488  275.7240
   34.1713   78.3876  271.0345
  -25.1671  274.9931  381.7249
  -44.0164   16.8571  325.3841
  -25.2782  284.6597  312.9499
  -31.0784    7.4326  234.1141
 -129.4000  221.3413  323.9658
   -6.0039  -39.4257  402.6377
  -15.8121  103.8681  224.5689
  103.2675  273.2785  411.0482
  108.9777  203.4729  168.3288
   39.6246  267.1848  323.6623
 -110.0389   84.4263  248.2861
   87.1286  158.4525  408.1727
   68.5579   13.0775  150.7687
   67.3516  258.9256  331.3671
  142.8154  -44.2101  319.3156
 -115.4208  189.1786  270.5965
   98.7198  275.9489  279.8469
  -32.2972    3.7025  290.4685
  157.4176  225.2726  209.4645
   15.7904  233.8532  395.9876
   41.8231   39.3951  216.2399
 -142.0031   15.8884  420.8123
   91.4175  206.7382   76.7906
 -202.0763  141.6249  223.5066
  119.0693   55.9953  392.8806
  -33.7448  335.4938  395.7022
  149.4546  166.8998  210.4541
  -73.5752   45.6329  411.9040
  129.5410  116.3408  225.3429
 -123.4175  146.9101  349.0637
   29.8371   85.6393  442.7210
  -86.2859  112.4893  189.9176
   65.7252  246.8659  440.0745
  -68.9185   60.0616  379.8993
  -85.4755  259.7616  221.9535
  -28.5103   93.8017  438.5281
  136.1492   44.7665  321.3043
   -3.1536  197.1260  148.6355
   91.1761  332.0349  394.7289
 -131.7207  153.9443  395.7062
   14.0898   87.8361  111.0563
